experiment,indicators,reward_mode,timesteps,seed,final_equity,total_return,sharpe_ratio,max_drawdown,win_rate,avg_trade_pnl,profit_factor,num_trades,time_in_market
exp_base_10k_pnl,"rsi,ma20,ma50,atr,ma20_slope",pnl,10000,default,8766.700000001563,-0.12332999999984373,-0.8203305460602507,-0.15903970165477116,0.5227790432801822,-0.20233485193532702,0.9808801687582894,1756,0.899847279157624
exp_base_30k_pnl,"rsi,ma20,ma50,atr,ma20_slope",pnl,30000,default,9119.00000000119,-0.08809999999988105,-0.5980853152691266,-0.12773861781060925,0.5364775239498895,-0.14922623433956272,0.9876067957600669,1357,0.8857808857808858
exp_macd_bb_30k_pnl,"rsi,ma20,ma50,atr,ma20_slope,macd,bb_width",pnl,30000,default,8496.50000000143,-0.150349999999857,-1.0358027940293857,-0.20618713952036427,0.46966731898238745,-0.4807566862352069,0.9594754350755456,1533,0.9490394662808456
exp_macd_bb_30k_risk_adj,"rsi,ma20,ma50,atr,ma20_slope,macd,bb_width",risk_adjusted,30000,default,6441.900000001504,-0.35580999999984964,-2.3672235741831797,-0.3735276781520511,0.4945652173913043,-1.6486111111101887,0.868053743173429,1656,0.9847279157623985
exp_macd_bb_50k_drawdown_penalty,"rsi,ma20,ma50,atr,ma20_slope,macd,bb_width",drawdown_penalty,50000,default,9117.500000000386,-0.08824999999996141,-0.9317391574391156,-0.12852999999996556,0.4648241206030151,-1.717336683416117,0.8863352901069905,398,0.3815609677678643
