experiment,fold,train_rows,test_rows,agent_total_return,agent_sharpe,agent_max_drawdown,agent_num_trades,bh_total_return,bh_sharpe,bh_max_drawdown
exp_base_30k_pnl,0,2201,2330,-0.20683999999997527,-4.484434407904132,-0.20986126359913765,279,-0.14752729713359636,-3.835473386382186,-0.1492301650931819
exp_base_30k_pnl,1,4554,2962,-0.06540999999997166,-1.0316891608852614,-0.14313081292323865,433,0.027321538432856673,0.5023827301514652,-0.10063290551027435
exp_base_30k_pnl,2,7527,5551,-0.1085999999999232,-1.6179020219865472,-0.12736999999995333,830,-0.015933239089789608,-0.23441960687632668,-0.07149138781057622
exp_base_30k_pnl,3,13127,5553,-0.031369999999951825,-0.4594340893898137,-0.08819995897674353,508,-0.028899908991289136,-0.4338296896072746,-0.09034768330120649
exp_macd_bb_50k_drawdown_penalty,0,2201,2330,0.07970000000001365,2.601100873593401,-0.03313526411827739,145,-0.14752729713359636,-3.835473386382186,-0.1492301650931819
exp_macd_bb_50k_drawdown_penalty,1,4554,2962,0.0,0.0,0.0,0,0.027321538432856673,0.5023827301514652,-0.10063290551027435
exp_macd_bb_50k_drawdown_penalty,2,7527,5551,0.0,0.0,0.0,0,-0.015933239089789608,-0.23441960687632668,-0.07149138781057622
exp_macd_bb_50k_drawdown_penalty,3,13127,5553,0.0,0.0,0.0,0,-0.028899908991289136,-0.4338296896072746,-0.09034768330120649
